Driver,Team,LapNumber,StintNumber,Compound,LapTime,LapTimeSeconds,TrackStatus,IsAccurate,PitInLap,Sector1Time,Sector2Time,Sector3Time
VER,Red Bull Racing,1.0,1.0,HARD,,,1,False,,,0 days 00:00:42.104000,0 days 00:00:26.743000
VER,Red Bull Racing,2.0,1.0,HARD,0 days 00:01:16.802000,76.802,1,True,,0 days 00:00:22.782000,0 days 00:00:30.530000,0 days 00:00:23.490000
VER,Red Bull Racing,3.0,1.0,HARD,0 days 00:02:14.993000,134.993,1,True,,0 days 00:00:50.693000,0 days 00:00:57.385000,0 days 00:00:26.915000
VER,Red Bull Racing,4.0,1.0,HARD,0 days 00:01:15.805000,75.805,1,True,,0 days 00:00:22.270000,0 days 00:00:30.384000,0 days 00:00:23.151000
VER,Red Bull Racing,5.0,1.0,HARD,0 days 00:02:21.227000,141.227,1,False,,0 days 00:00:44.629000,0 days 00:00:56.076000,0 days 00:00:40.522000
VER,Red Bull Racing,6.0,2.0,HARD,0 days 00:02:12.418000,132.418,1,False,,0 days 00:00:51.475000,0 days 00:00:48.210000,0 days 00:00:32.733000
VER,Red Bull Racing,7.0,2.0,HARD,0 days 00:01:15.516000,75.516,1,True,,0 days 00:00:22.126000,0 days 00:00:30.419000,0 days 00:00:22.971000
VER,Red Bull Racing,8.0,2.0,HARD,0 days 00:01:32.990000,92.99,1,False,,0 days 00:00:26.448000,0 days 00:00:38.052000,0 days 00:00:28.490000
VER,Red Bull Racing,9.0,3.0,SOFT,,,1,False,,,0 days 00:00:45.992000,0 days 00:00:26.374000
VER,Red Bull Racing,10.0,3.0,SOFT,0 days 00:01:14.085000,74.085,1,True,,0 days 00:00:21.924000,0 days 00:00:29.685000,0 days 00:00:22.476000
VER,Red Bull Racing,11.0,3.0,SOFT,0 days 00:01:45.656000,105.656,1,False,,0 days 00:00:32.189000,0 days 00:00:39.319000,0 days 00:00:34.148000
VER,Red Bull Racing,12.0,4.0,SOFT,,,12,False,,,0 days 00:00:33.416000,0 days 00:00:26.619000
VER,Red Bull Racing,13.0,4.0,SOFT,0 days 00:01:19.917000,79.917,1,True,,0 days 00:00:23.922000,0 days 00:00:32.115000,0 days 00:00:23.880000
VER,Red Bull Racing,14.0,4.0,SOFT,0 days 00:01:19.596000,79.596,1,True,,0 days 00:00:23.793000,0 days 00:00:32.022000,0 days 00:00:23.781000
VER,Red Bull Racing,15.0,4.0,SOFT,0 days 00:01:19.508000,79.508,1,True,,0 days 00:00:23.719000,0 days 00:00:31.936000,0 days 00:00:23.853000
VER,Red Bull Racing,16.0,4.0,SOFT,0 days 00:01:19.736000,79.736,1,True,,0 days 00:00:23.414000,0 days 00:00:32.192000,0 days 00:00:24.130000
VER,Red Bull Racing,17.0,4.0,SOFT,,,1,False,,0 days 00:00:36.889000,0 days 00:01:06.555000,0 days 00:00:55.677000
VER,Red Bull Racing,18.0,4.0,SOFT,0 days 00:01:49.521000,109.521,1,False,,0 days 00:00:48.356000,0 days 00:00:32.830000,0 days 00:00:28.335000
NOR,McLaren,1.0,1.0,HARD,,,1,False,,,0 days 00:00:37.185000,0 days 00:00:28.656000
NOR,McLaren,2.0,1.0,HARD,0 days 00:01:16.095000,76.095,1,True,,0 days 00:00:22.567000,0 days 00:00:30.494000,0 days 00:00:23.034000
NOR,McLaren,3.0,1.0,HARD,0 days 00:01:59.624000,119.624,1,True,,0 days 00:00:29.696000,0 days 00:00:55.689000,0 days 00:00:34.239000
NOR,McLaren,4.0,1.0,HARD,0 days 00:01:15.633000,75.633,1,True,,0 days 00:00:22.311000,0 days 00:00:30.244000,0 days 00:00:23.078000
NOR,McLaren,5.0,1.0,HARD,0 days 00:01:56.771000,116.771,1,True,,0 days 00:00:26.210000,0 days 00:00:51.467000,0 days 00:00:39.094000
NOR,McLaren,6.0,1.0,HARD,0 days 00:02:06.784000,126.784,1,True,,0 days 00:00:40.900000,0 days 00:00:51.691000,0 days 00:00:34.193000
NOR,McLaren,7.0,1.0,HARD,0 days 00:01:15.259000,75.259,1,True,,0 days 00:00:22.120000,0 days 00:00:30.198000,0 days 00:00:22.941000
